Season,Week,Day,Date,AwayTeam,HomeTeam,Quarter,DriveNumber,TeamWithPossession,IsScoringDrive,PlayNumberInDrive,IsScoringPlay,PlayOutcome,PlayStart,PlayTimeFormation,PlayDescription
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,1,0,Kickoff from NYJ 35,,Kickoff,"— G.Zuerlein kicks 65 yards from NYJ 35 to end zone, Touchback."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,2,0,5 Yard Pass,1st & 10 at CLE 25,15:00 1st,— K.Mond pass short left to J.Kelly to CLE 30 for 5 yards (T.Smart).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,3,0,7 Yard Pass,2nd & 5 at CLE 30,14:17 1st Shotgun,— K.Mond pass short right to Z.Mitchell-Paden to CLE 37 for 7 yards (J.Sherwood; H.Nasirildeen). NYJ-H.Nasirildeen was injured during the play. He is Out.
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,4,0,1 Yard Run,1st & 10 at CLE 37,13:37 1st,— J.Kelly left guard to CLE 38 for 1 yard (B.Echols; M.Clemons).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,5,0,8 Yard Run,2nd & 9 at CLE 38,13:02 1st Shotgun,— J.Kelly right guard to CLE 46 for 8 yards (Z.Barnes).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,6,0,15 Yard Penalty,3rd & 1 at CLE 46,12:25 1st,"— K.Mond pass short right to J.Kelly pushed ob at NYJ 35 for 19 yards (B.Echols). PENALTY on NYJ-B.Echols, Unnecessary Roughness, 15 yards, enforced at CLE 46 - No Play. Penalty on CLE, Illegal Formation, superseded."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,7,0,15 Yard Pass,1st & 10 at NYJ 39,12:07 1st,— K.Mond pass short left to C.Tillman to NYJ 24 for 15 yards (J.Sherwood).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,8,0,0 Yard Run,1st & 10 at NYJ 24,11:25 1st,— J.Kelly left tackle to NYJ 24 for no gain (B.Echols; Z.Barnes).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,9,0,Pass Incomplete,2nd & 10 at NYJ 24,10:47 1st Shotgun,— K.Mond pass incomplete short right to J.Kelly (J.Johnson).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,10,0,-7 Yard Sack,3rd & 10 at NYJ 24,10:43 1st Shotgun,— K.Mond sacked at NYJ 31 for -7 yards (B.Huff).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,1,Cleveland Browns,0,11,0,Field Goal No Good,4th & 17 at NYJ 31,10:00 1st,"— C.York 49 yard field goal is No Good, Wide Right, Center-C.Hughlett, Holder-C.Bojorquez."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,2,New York Jets,0,1,0,5 Yard Run,1st & 10 at NYJ 39,09:56 1st,— I.Abanikanda left guard to NYJ 44 for 5 yards (J.Kunaszyk; M.Diabate).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,2,New York Jets,0,2,0,3 Yard Pass,2nd & 5 at NYJ 44,09:20 1st Shotgun,— Z.Wilson pass short right to K.Yeboah ran ob at NYJ 47 for 3 yards.
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,2,New York Jets,0,3,0,Sack,3rd & 2 at NYJ 47,08:42 1st Shotgun,— Z.Wilson sacked at NYJ 47 for 0 yards (J.Kunaszyk).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,2,New York Jets,0,4,0,Punt,4th & 2 at NYJ 47,07:56 1st,"— T.Morstead punts 48 yards to CLE 5, Center-T.Hennessy. D.Felton to CLE 12 for 7 yards (C.Surratt)."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,1,0,10 Yard Run,1st & 10 at CLE 12,07:44 1st Shotgun,— J.Kelly left guard to CLE 22 for 10 yards (J.Sherwood).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,2,0,5 Yard Penalty,1st & 10 at CLE 22,07:02 1st,"— J.Kelly right guard to CLE 20 for -2 yards (J.Sherwood). PENALTY on NYJ-T.Smart, Defensive Offside, 5 yards, enforced at CLE 22 - No Play."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,3,0,5 Yard Penalty,1st & 5 at CLE 27,06:30 1st,"— K.Mond pass incomplete short right to T.Greaney (Z.Barnes). PENALTY on NYJ-B.Echols, Defensive Holding, 5 yards, enforced at CLE 27 - No Play. Penalty on NYJ-Z.Barnes, Illegal Contact, declined."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,4,0,Pass Incomplete,1st & 10 at CLE 32,06:23 1st,— K.Mond pass incomplete short left to Z.Mitchell-Paden [W.McDonald].
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,5,0,5 Yard Run,2nd & 10 at CLE 32,06:19 1st Shotgun,"— J.Kelly right tackle to CLE 37 for 5 yards (C.James, I.Mack)."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,6,0,Pass Incomplete,3rd & 5 at CLE 37,05:33 1st Shotgun,"— K.Mond pass incomplete deep left to D.Baldwin (B.Echols). Penalty on CLE, Illegal Formation, declined."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,3,Cleveland Browns,0,7,0,Punt,4th & 5 at CLE 37,05:28 1st,"— C.Bojorquez punts 58 yards to NYJ 5, Center-C.Hughlett. X.Gipson MUFFS catch, ball out of bounds at NYJ 5."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,1,0,2 Yard Run,1st & 10 at NYJ 5,05:19 1st,— I.Abanikanda left tackle to NYJ 7 for 2 yards (M.Hurst; A.Wright).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,2,0,57 Yard Pass,2nd & 8 at NYJ 7,04:39 1st,— Z.Wilson pass deep left to M.Taylor to CLE 36 for 57 yards (T.Graham).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,3,0,2 Yard Run,1st & 10 at CLE 36,03:51 1st,— I.Abanikanda right guard to CLE 34 for 2 yards (T.Graham; A.Wright).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,4,0,3 Yard Run,2nd & 8 at CLE 34,03:14 1st,— I.Abanikanda left tackle to CLE 31 for 3 yards (T.Fields).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,5,0,-5 Yard Penalty,3rd & 5 at CLE 31,02:35 1st Shotgun,"— PENALTY on NYJ-K.Yeboah, False Start, 5 yards, enforced at CLE 31 - No Play."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,6,0,Pass Incomplete,3rd & 10 at CLE 36,02:14 1st Shotgun,— Z.Wilson pass incomplete deep right to X.Gipson.
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,4,New York Jets,1,7,1,Field Goal,4th & 10 at CLE 36,02:09 1st,"— G.Zuerlein 54 yard field goal is GOOD, Center-T.Hennessy, Holder-T.Morstead."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,5,Cleveland Browns,0,1,0,Kickoff from NYJ 35,,Kickoff,— G.Zuerlein kicks 60 yards from NYJ 35 to CLE 5. H.Hall to CLE 22 for 17 yards (I.Charles).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,5,Cleveland Browns,0,2,0,Fumble,1st & 10 at CLE 22,02:01 1st,"— A.Schwartz left end to CLE 29 for 7 yards (J.Sherwood). FUMBLES (J.Sherwood), RECOVERED by NYJ-J.Guidry at CLE 31."
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,6,New York Jets,1,1,0,5 Yard Pass,1st & 10 at CLE 31,01:54 1st Shotgun,— Z.Wilson pass short right to I.Abanikanda to CLE 26 for 5 yards (S.Ika).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,6,New York Jets,1,2,0,0 Yard Run,2nd & 5 at CLE 26,01:16 1st,— I.Abanikanda right end to CLE 26 for no gain (T.Fields; S.Kamara).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,6,New York Jets,1,3,0,Pass Incomplete,3rd & 5 at CLE 26,00:31 1st Shotgun,— Z.Wilson pass incomplete short middle to M.Taylor (T.Togiai).
2023,Hall Of Fame,THU,08/03,Jets,Browns,1st Quarter,6,New York Jets,1,4,1,Field Goal,4th & 5 at CLE 26,00:26 1st,"— G.Zuerlein 44 yard field goal is GOOD, Center-T.Hennessy, Holder-T.Morstead."
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,1,Cleveland Browns,0,1,0,Kickoff from NYJ 35,,Kickoff,— G.Zuerlein kicks 59 yards from NYJ 35 to CLE 6. H.Hall to CLE 25 for 19 yards (B.Echols).
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,1,Cleveland Browns,0,2,0,1 Yard Run,1st & 10 at CLE 25,00:16 1st Shotgun,— D.Felton left guard to CLE 26 for 1 yard (W.McDonald).
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,1,Cleveland Browns,0,3,0,5 Yard Pass,2nd & 9 at CLE 26,15:00 2nd,— K.Mond pass short left to T.Greaney to CLE 31 for 5 yards (C.Surratt).
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,1,Cleveland Browns,0,4,0,3 Yard Pass,3rd & 4 at CLE 31,14:11 2nd Shotgun,— K.Mond pass short left to T.Greaney to CLE 34 for 3 yards (C.Cherelus).
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,1,Cleveland Browns,0,5,0,Punt,4th & 1 at CLE 34,13:27 2nd,"— C.Bojorquez punts 66 yards to end zone, Center-C.Hughlett, Touchback."
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,2,New York Jets,0,1,0,6 Yard Run,1st & 10 at NYJ 20,13:18 2nd,— I.Abanikanda right tackle to NYJ 26 for 6 yards (Da.Bell; R.Hickman).
2023,Hall Of Fame,THU,08/03,Jets,Browns,2nd Quarter,2,New York Jets,0,2,0,-5 Yard Penalty,2nd & 4 at NYJ 26,12:32 2nd,"— PENALTY on NYJ, Delay of Game, 5 yards, enforced at NYJ 26 - No Play."
